Reference,Pad,PadName,Net,Value,Footprint
R1,1,1,LIN_RX,10k_LIN_RX_PULLUP,teensy-41-can-lin:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
R1,2,2,+3V3,10k_LIN_RX_PULLUP,teensy-41-can-lin:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
R11,1,1,LIN_EN,100k_LIN_EN_PULLDOWN,teensy-41-can-lin:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
R11,2,2,GND,100k_LIN_EN_PULLDOWN,teensy-41-can-lin:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
R12,1,1,CANFD_A_XSTBY,10k_CAN_A_STBY_PULLUP,teensy-41-can-lin:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
R12,2,2,+3V3,10k_CAN_A_STBY_PULLUP,teensy-41-can-lin:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
R13,1,1,CANFD_B_XSTBY,10k_CAN_B_STBY_PULLUP,teensy-41-can-lin:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
R13,2,2,+3V3,10k_CAN_B_STBY_PULLUP,teensy-41-can-lin:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
R14,1,1,CANFD_A_NCS,10k_CANFD_A_NCS_PULLUP,teensy-41-can-lin:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
R14,2,2,+3V3,10k_CANFD_A_NCS_PULLUP,teensy-41-can-lin:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
R15,1,1,CANFD_B_NCS,10k_CANFD_B_NCS_PULLUP,teensy-41-can-lin:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
R15,2,2,+3V3,10k_CANFD_B_NCS_PULLUP,teensy-41-can-lin:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
R16,1,1,LIN_MASTER_ENABLE,1k_LIN_MASTER_PULLUP_DNP,teensy-41-can-lin:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
R16,2,2,LIN_BUS,1k_LIN_MASTER_PULLUP_DNP,teensy-41-can-lin:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
SR1,,,,CABLE_STRAIN_RELIEF,teensy-41-can-lin:MountingHole_3.2mm_M3
SR2,,,,CABLE_STRAIN_RELIEF,teensy-41-can-lin:MountingHole_3.2mm_M3
SW1,1,1,OBD6_CAN_A_PAIR_A,CAN_NORMAL_CROSS_DIP_8POS,teensy-41-can-lin:SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm
SW1,2,2,OBD14_CAN_A_PAIR_B,CAN_NORMAL_CROSS_DIP_8POS,teensy-41-can-lin:SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm
SW1,3,3,OBD6_CAN_A_PAIR_A,CAN_NORMAL_CROSS_DIP_8POS,teensy-41-can-lin:SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm
SW1,4,4,OBD14_CAN_A_PAIR_B,CAN_NORMAL_CROSS_DIP_8POS,teensy-41-can-lin:SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm
SW1,5,5,OBD3_CAN_B_PAIR_A_CANDIDATE,CAN_NORMAL_CROSS_DIP_8POS,teensy-41-can-lin:SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm
SW1,6,6,OBD11_CAN_B_PAIR_B_CANDIDATE,CAN_NORMAL_CROSS_DIP_8POS,teensy-41-can-lin:SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm
SW1,7,7,OBD3_CAN_B_PAIR_A_CANDIDATE,CAN_NORMAL_CROSS_DIP_8POS,teensy-41-can-lin:SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm
SW1,8,8,OBD11_CAN_B_PAIR_B_CANDIDATE,CAN_NORMAL_CROSS_DIP_8POS,teensy-41-can-lin:SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm
SW1,9,9,CAN_B_H,CAN_NORMAL_CROSS_DIP_8POS,teensy-41-can-lin:SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm
SW1,10,10,CAN_B_L,CAN_NORMAL_CROSS_DIP_8POS,teensy-41-can-lin:SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm
SW1,11,11,CAN_B_L,CAN_NORMAL_CROSS_DIP_8POS,teensy-41-can-lin:SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm
